Command: /Users/admin9/ccass-sentinel/.venv/bin/python /Users/admin9/ccass-sentinel/scripts/daily_runner.py --date 2025/06/25 --auto-backfill
Exit code: 0

STDOUT:
🛰️  CCASS Sentinel Daily Runner — 2025/06/25
  Watchlist: 2796 stocks
  Already have: 500/2796 stocks for 2025/06/25; collecting 2296 missing stocks...
  Progress: 10 processed, 2 collected, 0 errors, 0 pending timeouts
  Progress: 20 processed, 11 collected, 0 errors, 0 pending timeouts
  Progress: 30 processed, 21 collected, 0 errors, 0 pending timeouts
  Progress: 40 processed, 31 collected, 0 errors, 0 pending timeouts
  Progress: 50 processed, 40 collected, 0 errors, 0 pending timeouts
  Progress: 60 processed, 50 collected, 0 errors, 0 pending timeouts
  Progress: 70 processed, 60 collected, 0 errors, 0 pending timeouts
  Progress: 80 processed, 70 collected, 0 errors, 0 pending timeouts
  Progress: 90 processed, 80 collected, 0 errors, 0 pending timeouts
  Progress: 100 processed, 89 collected, 0 errors, 0 pending timeouts
  Progress: 110 processed, 99 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (611 entries)
  Progress: 120 processed, 108 collected, 0 errors, 0 pending timeouts
  Progress: 130 processed, 118 collected, 0 errors, 0 pending timeouts
  Progress: 140 processed, 128 collected, 0 errors, 0 pending timeouts
  Progress: 150 processed, 138 collected, 0 errors, 0 pending timeouts
  Progress: 160 processed, 148 collected, 0 errors, 0 pending timeouts
  Progress: 170 processed, 158 collected, 0 errors, 0 pending timeouts
  Progress: 180 processed, 168 collected, 0 errors, 0 pending timeouts
  Progress: 190 processed, 178 collected, 0 errors, 0 pending timeouts
  Progress: 200 processed, 188 collected, 0 errors, 0 pending timeouts
  Progress: 210 processed, 198 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (712 entries)
  Progress: 220 processed, 208 collected, 0 errors, 0 pending timeouts
  Progress: 230 processed, 218 collected, 0 errors, 0 pending timeouts
  Progress: 240 processed, 228 collected, 0 errors, 0 pending timeouts
  Progress: 250 processed, 238 collected, 0 errors, 0 pending timeouts
  Progress: 260 processed, 248 collected, 0 errors, 0 pending timeouts
  Progress: 270 processed, 258 collected, 0 errors, 0 pending timeouts
  Progress: 280 processed, 267 collected, 0 errors, 0 pending timeouts
  Progress: 290 processed, 277 collected, 0 errors, 0 pending timeouts
  Progress: 300 processed, 287 collected, 0 errors, 0 pending timeouts
  Progress: 310 processed, 297 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (813 entries)
  Progress: 320 processed, 307 collected, 0 errors, 0 pending timeouts
  Progress: 330 processed, 317 collected, 0 errors, 0 pending timeouts
  Progress: 340 processed, 327 collected, 0 errors, 0 pending timeouts
  Progress: 350 processed, 337 collected, 0 errors, 0 pending timeouts
  Progress: 360 processed, 347 collected, 0 errors, 0 pending timeouts
  Progress: 370 processed, 357 collected, 0 errors, 0 pending timeouts
